|перевод||слово||количество|
about|о|2998
а|а|2300
be|быть|2224
And|и|1841
n|н|1669
so|так|1586
lymphocytes|л|1376
p.|с|1315
in|в|1274
Rep|р|1086
к|к|921
,|,|860
M|м|816
Next|далее|807
-|у|742
banded neutrophils|п|708
i|ь|511
ы|ы|492
.|я|477
г|г|474
h|ч|441
6|б|413
.|.|382
3|з|381
g|ж|322
.|й|283
х|х|209
—|—|194
latitude|широта|191
.|ю|148
ц|ц|96
щ|щ|75
2|э|59
-|-|47
?|?|47
!|!|36
:|:|35
;|;|32
assessment|ф|31
«|«|27
»|»|27
ё|ё|25
i|i|8
n|n|6
e|e|5
ъ|ъ|5
(|(|3
)|)|3
d|d|3
u|u|3
o|o|3
t|t|2
s|s|2
1|1|2
v|v|2
́|́|2
p|p|1
с|c|1
z|z|1
q|q|1
l|l|1
'|'|1
h|h|1
é|é|1
№|№|1
7|7|1
